key:129,48 value:23540
key:710,45 value:10353

key:121,48 value:23691

key:710,44 value:4981

key:110,46 value:26596

key:370,41 value:29235

key:710,46 value:5530

key:110,42 value:37403

